id,followers,name,popularity,CLASSES,lof_results
0IVBT8qQNwvHLzOJL6kGpE,1143561.0,Oriente,61,60_70_class,1
4kqedTxyE5EDJWLLplYXpu,379261.0,Choice,58,50_60_class,1
5ZtyHkAGvYFPSYcWPfmL5n,291927.0,Liniker e os Caramelows,59,50_60_class,1
34JhhuxlkDFSA5ek4AuZOp,120144.0,Yung Buda,58,50_60_class,1
7Jp5Nw7cNZTkwFgJX06Cqk,361983.0,Dan Lellis,58,50_60_class,1
0kj68SnX4WCXwveyBbRX8p,29900.0,MC Saci,55,50_60_class,1
03lJxNYml1ArLjcZLxfIvz,2080285.0,Paula Mattos,55,50_60_class,1
3DAlQBPv5zWasPxV5Tr8ok,14159.0,Zerky,57,50_60_class,1
2Ip2jiEjsSe8pmRBzwTv5N,47316.0,Febem,55,50_60_class,1
0MDyxNYI11EEQWhjsrPFd2,402843.0,Laura Souguellis,55,50_60_class,1
1qJG1PpAGl1FnzYyCDU7x1,1996.0,CESRV,53,50_60_class,1
2d92LVCevmO89rznIQqOhL,830.0,Vitin,53,50_60_class,1
2gzwjs75n4HZZfgnVGxoqI,408112.0,Limão Com Mel,53,50_60_class,1
6W2jVpE55n1wT0SrpxoeFk,227119.0,Dalsin,53,50_60_class,1
2b3gMC15SnC8mwjnYiUXvx,447823.0,Mato Seco,53,50_60_class,1
5pkMSRvBI8OXT3rExCzvNs,88786.0,Mc Abalo,52,50_60_class,1
71FkOGkNoEpRQAAmV9CP73,530956.0,David Quinlan,52,50_60_class,1
7luES30fTO66nDk83NZCJV,202316.0,Padre Reginaldo Manzotti,52,50_60_class,1
1beK7BpUs2hTagfzLUb1HB,77369.0,Aka Rasta,52,50_60_class,1
3tWVgYrn2htmCQesDIlByw,71438.0,Kiko Zambianchi,52,50_60_class,1
7ffqgUujPJ2BxcFc8BmG5y,154639.0,Eliana Ribeiro,52,50_60_class,1
33xmh99C0KxDvzaPjR178o,14136.0,Instituto,52,50_60_class,1
1mwuQroxtrC6ANU2Jwb8ZQ,41526.0,Gabi Sampaio,52,50_60_class,1
0ECZ1gcdRnPXN4Bf1P8odD,14156.0,Thiago & Graciano,52,50_60_class,1
34IKMjXZ3Qy0vjG82n97r6,453.0,Bruno Cardoso,52,50_60_class,1
0HBQtIkqXtoKagoPOgxK8k,211.0,El Lif Beatz,51,50_60_class,1
6Ywb1no2hXLazjIs4LUiQD,226699.0,ADL,51,50_60_class,1
61BsnDVXUUSASD04kvzMs1,193410.0,Vander Lee,51,50_60_class,1
2eYGPD8O1chWmQ92TvdtCW,4787.0,JXNV$,51,50_60_class,1
0MGbmpBm2Gzvy6ENd9D1qv,187392.0,Delino Marçal,51,50_60_class,1
5mXYWM38dlAs01e3XQEtma,10624.0,Jhama,51,50_60_class,1
02RhvXTIhg46MyWF8yN6GG,49578.0,Mc DR,51,50_60_class,1
6ab8tnQvr8sXXIpSZCrbQs,159302.0,YUNG LIXO,58,50_60_class,1
2FHS70d0Slskx7fTNkGRzF,2475.0,MC Yuri,58,50_60_class,1
7uskxjQtkzfiqHCNIIv3gD,291.0,jess beats,58,50_60_class,1
6Ae0wz09vBFYZXJ2bJAKUl,28345.0,Kiaz,58,50_60_class,1
6cUTkFvlPW27lYc3qcoOgy,4170.0,Baviera,58,50_60_class,1
6apif9UbguC36klKtjMKVL,39709.0,3 Palavrinhas,55,50_60_class,1
3oo4KrgV0t3uqQ4e7jHHNs,65.0,DJ Murillo,54,50_60_class,1
09IVixIx3VLLFmWZfojamH,121131.0,Zé Cantor,54,50_60_class,1
5Oj5puFnNDLbUqyWtq5jJu,315420.0,Canção & Louvor,54,50_60_class,1
5YXT5F24Ljk9YOXg32x93j,12658.0,DBS Gordão Chefe,54,50_60_class,1
2WuvtQ2O6J0tTQDrvs9RFW,80050.0,Pisadinha De Luxo,54,50_60_class,1
4vKCAkbdulcqatglgbi5CG,219456.0,Roberta Sá,55,50_60_class,1
